"STATION","DATE","TMAX","TMAX_ATTRIBUTES"
"USW00012839","2016-04-14","85",",,W"
"USW00012839","2016-04-15","87",",,W"
"USW00012839","2016-04-16","83",",,W"
"USW00012839","2016-04-17","80",",,W"
"USW00012839","2016-04-18","81",",,W"
"USW00012839","2016-04-19","81",",,W"
"USW00012839","2016-04-20","82",",,W"
"USW00012839","2016-04-21","82",",,W"
"USW00012839","2016-04-22","83",",,W"
"USW00012839","2016-04-23","89",",,W"
"USW00012839","2016-04-24","86",",,W"
"USW00012839","2016-04-25","85",",,W"
"USW00012839","2016-04-26","83",",,W"
"USW00012839","2016-04-27","84",",,W"
"USW00012839","2016-04-28","86",",,W"
"USW00012839","2016-04-29","87",",,W"
"USW00012839","2016-04-30","84",",,W"
"USW00012839","2016-05-01","86",",,W"
"USW00012839","2016-05-02","87",",,W"
"USW00012839","2016-05-03","90",",,W"
"USW00012839","2016-05-04","84",",,W"
"USW00012839","2016-05-05","83",",,W"
"USW00012839","2016-05-06","81",",,W"
"USW00012839","2016-05-07","82",",,W"
"USW00012839","2016-05-08","82",",,W"
"USW00012839","2016-05-09","83",",,W"
"USW00012839","2016-05-10","85",",,W"
"USW00012839","2016-05-11","86",",,W"
"USW00012839","2016-05-12","86",",,W"
"USW00012839","2016-05-13","86",",,W"
"USW00012839","2016-05-14","90",",,W"
"USW00012839","2016-05-15","90",",,W"
"USW00012839","2016-05-16","88",",,W"
"USW00012839","2016-05-17","88",",,W"
"USW00012839","2016-05-18","88",",,W"
"USW00012839","2016-05-19","86",",,W"
"USW00012839","2016-05-20","89",",,W"
"USW00012839","2016-05-21","93",",,W"
"USW00012839","2016-05-22","92",",,W"
"USW00012839","2016-05-23","87",",,W"
"USW00012839","2016-05-24","87",",,W"
"USW00012839","2016-05-25","86",",,W"
"USW00012839","2016-05-26","85",",,W"
"USW00012839","2016-05-27","86",",,W"
"USW00012839","2016-05-28","85",",,W"
"USW00012839","2016-05-29","90",",,W"
"USW00012839","2016-05-30","87",",,W"
"USW00012839","2016-05-31","85",",,W"
"USW00012839","2016-06-01","89",",,W"
"USW00012839","2016-06-02","89",",,W"
"USW00012839","2016-06-03","90",",,W"
"USW00012839","2016-06-04","90",",,W"
"USW00012839","2016-06-05","90",",,W"
"USW00012839","2016-06-06","91",",,W"
"USW00012839","2016-06-07","92",",,W"
"USW00012839","2016-06-08","90",",,W"
"USW00012839","2016-06-09","89",",,W"
"USW00012839","2016-06-10","91",",,W"
"USW00012839","2016-06-11","92",",,W"
"USW00012839","2016-06-12","90",",,W"
"USW00012839","2016-06-13","91",",,W"
"USW00012839","2016-06-14","92",",,W"
"USW00012839","2016-06-15","92",",,W"
"USW00012839","2016-06-16","93",",,W"
"USW00012839","2016-06-17","92",",,W"
"USW00012839","2016-06-18","95",",,W"
"USW00012839","2016-06-19","89",",,W"
"USW00012839","2016-06-20","87",",,W"
"USW00012839","2016-06-21","82",",,W"
"USW00012839","2016-06-22","90",",,W"
"USW00012839","2016-06-23","90",",,W"
"USW00012839","2016-06-24","90",",,W"
"USW00012839","2016-06-25","91",",,W"
"USW00012839","2016-06-26","91",",,W"
"USW00012839","2016-06-27","87",",,W"
"USW00012839","2016-06-28","88",",,W"
"USW00012839","2016-06-29","90",",,W"
"USW00012839","2016-06-30","89",",,W"
"USW00012839","2016-07-01","90",",,W"
"USW00012839","2016-07-02","90",",,W"
"USW00012839","2016-07-03","90",",,W"
"USW00012839","2016-07-04","92",",,W"
"USW00012839","2016-07-05","92",",,W"
"USW00012839","2016-07-06","92",",,W"
"USW00012839","2016-07-07","92",",,W"
"USW00012839","2016-07-08","92",",,W"
"USW00012839","2016-07-09","92",",,W"
"USW00012839","2016-07-10","92",",,W"
"USW00012839","2016-07-11","92",",,W"
"USW00012839","2016-07-12","93",",,W"
"USW00012839","2016-07-13","92",",,W"
"USW00012839","2016-07-14","91",",,W"
"USW00012839","2016-07-15","91",",,W"
"USW00012839","2016-07-16","91",",,W"
"USW00012839","2016-07-17","91",",,W"
"USW00012839","2016-07-18","92",",,W"
"USW00012839","2016-07-19","92",",,W"
"USW00012839","2016-07-20","92",",,W"
"USW00012839","2016-07-21","88",",,W"
"USW00012839","2016-07-22","91",",,W"
"USW00012839","2016-07-23","90",",,W"
"USW00012839","2016-07-24","88",",,W"
"USW00012839","2016-07-25","91",",,W"
"USW00012839","2016-07-26","91",",,W"
"USW00012839","2016-07-27","91",",,W"
"USW00012839","2016-07-28","91",",,W"
"USW00012839","2016-07-29","90",",,W"
"USW00012839","2016-07-30","93",",,W"
"USW00012839","2016-07-31","91",",,W"
"USW00012839","2016-08-01","92",",,W"
"USW00012839","2016-08-02","91",",,W"
"USW00012839","2016-08-03","90",",,W"
"USW00012839","2016-08-04","92",",,W"
"USW00012839","2016-08-05","91",",,W"
"USW00012839","2016-08-06","91",",,W"
"USW00012839","2016-08-07","90",",,W"
"USW00012839","2016-08-08","85",",,W"
"USW00012839","2016-08-09","90",",,W"
"USW00012839","2016-08-10","92",",,W"
"USW00012839","2016-08-11","88",",,W"
"USW00012839","2016-08-12","90",",,W"
"USW00012839","2016-08-13","90",",,W"
"USW00012839","2016-08-14","91",",,W"
"USW00012839","2016-08-15","92",",,W"
"USW00012839","2016-08-16","90",",,W"
"USW00012839","2016-08-17","89",",,W"
"USW00012839","2016-08-18","91",",,W"
"USW00012839","2016-08-19","90",",,W"
"USW00012839","2016-08-20","93",",,W"
"USW00012839","2016-08-21","94",",,W"
"USW00012839","2016-08-22","93",",,W"
"USW00012839","2016-08-23","94",",,W"
"USW00012839","2016-08-24","90",",,W"
"USW00012839","2016-08-25","94",",,W"
"USW00012839","2016-08-26","92",",,W"
"USW00012839","2016-08-27","91",",,W"
"USW00012839","2016-08-28","90",",,W"
"USW00012839","2016-08-29","86",",,W"
"USW00012839","2016-08-30","86",",,W"
"USW00012839","2016-08-31","87",",,W"
"USW00012839","2016-09-01","89",",,W"
"USW00012839","2016-09-02","93",",,W"
"USW00012839","2016-09-03","91",",,W"
"USW00012839","2016-09-04","91",",,W"
"USW00012839","2016-09-05","89",",,W"
"USW00012839","2016-09-06","89",",,W"
"USW00012839","2016-09-07","90",",,W"
"USW00012839","2016-09-08","89",",,W"
"USW00012839","2016-09-09","90",",,W"
"USW00012839","2016-09-10","90",",,W"
"USW00012839","2016-09-11","89",",,W"
"USW00012839","2016-09-12","91",",,W"
"USW00012839","2016-09-13","88",",,W"
"USW00012839","2016-09-14","89",",,W"
"USW00012839","2016-09-15","91",",,W"
"USW00012839","2016-09-16","91",",,W"
"USW00012839","2016-09-17","92",",,W"
"USW00012839","2016-09-18","92",",,W"
"USW00012839","2016-09-19","92",",,W"
"USW00012839","2016-09-20","92",",,W"
"USW00012839","2016-09-21","91",",,W"
"USW00012839","2016-09-22","90",",,W"
"USW00012839","2016-09-23","89",",,W"
"USW00012839","2016-09-24","89",",,W"
"USW00012839","2016-09-25","89",",,W"
"USW00012839","2016-09-26","88",",,W"
"USW00012839","2016-09-27","85",",,W"
"USW00012839","2016-09-28","92",",,W"
"USW00012839","2016-09-29","92",",,W"
"USW00012839","2016-09-30","91",",,W"
"USW00012839","2016-10-01","88",",,W"
"USW00012839","2016-10-02","91",",,W"
"USW00012839","2016-10-03","91",",,W"
"USW00012839","2016-10-04","91",",,W"
"USW00012839","2016-10-05","91",",,W"
"USW00012839","2016-10-06","87",",,W"
"USW00012839","2016-10-07","91",",,W"
"USW00012839","2016-10-08","92",",,W"
"USW00012839","2016-10-09","90",",,W"
"USW00012839","2016-10-10","86",",,W"
"USW00012839","2016-10-11","87",",,W"
"USW00012839","2016-10-12","87",",,W"
"USW00012839","2016-10-13","88",",,W"
"USW00012839","2016-10-14","88",",,W"
"USW00012839","2016-10-15","88",",,W"
"USW00012839","2016-10-16","87",",,W"
"USW00012839","2016-10-17","87",",,W"
"USW00012839","2016-10-18","88",",,W"
"USW00012839","2016-10-19","88",",,W"
